Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-12-01 00:00:00
Nordeste,Ribeira do Pombal,292305,Novo Triunfo,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,292310,Olindina,0.9037,0.9005,1.0,0.8263,0.8578,0.8555
Oeste,Ibotirama,292320,Oliveira dos Brejinhos,0.9097,0.606,0.9083,1.0,1.0,1.0
Nordeste,Alagoinhas,292330,Ouriçangas,1.0,1.0,0.7757,1.0,1.0,1.0
Centro Norte,Jacobina,292335,Ourolândia,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,292340,Palmas de Monte Alto,0.4633,0.4617,0.5937,0.6185,0.7741,0.6345
Centro Leste,Seabra,292350,Palmeiras,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,292360,Paramirim,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Ibotirama,292370,Paratinga,0.8505,0.8457,0.9464,1.0,0.9748,0.9703
Nordeste,Ribeira do Pombal,292380,Paripiranga,0.6954,0.4619,0.6905,0.803,0.834,0.9521
Sul,Itabuna,292390,Pau Brasil,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Paulo Afonso,292400,Paulo Afonso,0.6998,0.6945,0.6904,0.686,0.6781,0.7616
Centro Leste,Feira de Santana,292405,Pé de Serra,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,292410,Pedrão,0.9187,1.0,1.0,1.0,1.0,1.0
Norte,Paulo Afonso,292420,Pedro Alexandre,1.0,1.0,1.0,0.9226,1.0,1.0
Centro Leste,Seabra,292430,Piatã,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Juazeiro,292440,Pilão Arcado,0.6025,0.4869,0.4847,0.3861,0.5002,0.4922
Sudoeste,Guanambi,292450,Pindaí,1.0,0.8212,1.0,1.0,1.0,1.0
Norte,Senhor do Bonfim,292460,Pindobaçu,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,292465,Pintadas,0.9193,0.6423,0.9378,0.9399,0.9874,0.6611
Sul,Valença,292467,Piraí do Norte,1.0,0.999,0.9965,0.9941,1.0,1.0
Sudoeste,Vitória da Conquista,292470,Piripá,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,292480,Piritiba,0.8352,0.8271,0.8279,0.9579,0.9842,0.9756
Sul,Jequié,292490,Planaltino,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,292500,Planalto,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,292510,Poções,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Camaçari,292520,Pojuca,1.0,1.0,1.0,1.0,1.0,0.9603
Norte,Senhor do Bonfim,292525,Ponto Novo,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,292530,Porto Seguro,0.8932,0.9262,0.9768,0.9473,1.0,0.8353
Sudoeste,Itapetinga,292540,Potiraguá,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,292550,Prado,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,292560,Presidente Dutra,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,292570,Presidente Jânio Quadros,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,292575,Presidente Tancredo Neves,0.8883,1.0,0.9927,0.9828,1.0,1.0
Centro Leste,Serrinha,292580,Queimadas,0.7945,0.7936,0.7804,0.7796,0.8135,0.8137
Centro Leste,Serrinha,292590,Quijingue,1.0,1.0,1.0,1.0,0.7518,1.0
Centro Norte,Jacobina,292593,Quixabeira,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Juazeiro,292600,Remanso,0.7383,0.8054,0.8015,0.8683,0.9561,0.8413
Centro Leste,Serrinha,292610,Retirolândia,1.0,1.0,0.7076,1.0,1.0,1.0
Oeste,Barreiras,292620,Riachão das Neves,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,0.9767,1.0,1.0,1.0,0.8263,0.5159
Sudoeste,Guanambi,292640,Riacho de Santana,0.8669,0.8616,0.8566,0.6628,0.8811,1.0
Nordeste,Ribeira do Pombal,292650,Ribeira do Amparo,1.0,0.9038,1.0,0.6702,0.6973,1.0
Nordeste,Ribeira do Pombal,292660,Ribeira do Pombal,0.879,0.9394,1.0,0.8165,0.7818,0.7694
Sudoeste,Vitória da Conquista,292665,Ribeirão do Largo,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,292670,Rio de Contas,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,292680,Rio do Antônio,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,292690,Rio do Pires,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,292700,Rio Real,0.9367,0.1691,0.6718,0.9086,0.7671,0.9317
Norte,Paulo Afonso,292710,Rodelas,1.0,1.0,0.9648,0.9537,0.9736,0.7395
Centro Leste,Itaberaba,292720,Ruy Barbosa,0.977,0.9744,0.9723,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,292730,Salinas da Margarida,1.0,1.0,0.6641,1.0,1.0,1.0
Leste,Salvador,292740,Salvador,0.37,0.3786,0.3754,0.3788,0.4208,0.4024
Centro Leste,Feira de Santana,292750,Santa Bárbara,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Paulo Afonso,292760,Santa Brígida,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,292770,Santa Cruz Cabrália,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,292780,Santa Cruz da Vitória,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,292790,Santa Inês,1.0,1.0,1.0,1.0,1.0,0.649
Sul,Ilhéus,292805,Santa Luzia,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,292810,Santa Maria da Vitória,0.9902,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,292840,Santa Rita de Cássia,0.9154,0.79,1.0,1.0,1.0,0.7305
Leste,Santo Antônio de Jesus,292850,Santa Teresinha,1.0,1.0,0.6498,0.9689,1.0,0.6631
Centro Leste,Serrinha,292800,Santaluz,0.7522,0.6542,0.7222,0.8081,0.8356,0.9237
Oeste,Santa Maria da Vitória,292820,Santana,0.6358,0.7594,0.756,0.7529,0.7806,0.7778
Centro Leste,Feira de Santana,292830,Santanópolis,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,292860,Santo Amaro,0.7846,0.8387,0.7811,0.7238,0.6957,0.8615
Leste,Santo Antônio de Jesus,292870,Santo Antônio de Jesus,0.8199,0.808,0.7832,0.839,0.8755,0.7477
Centro Leste,Feira de Santana,292880,Santo Estêvão,0.8424,0.9644,0.9033,0.8655,0.9044,0.7833
Oeste,Barreiras,292890,São Desidério,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,292895,São Domingos,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,292910,São Felipe,0.9606,1.0,0.9437,0.9425,0.9825,0.9823
Leste,Cruz das Almas,292900,São Félix,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,292905,São Félix do Coribe,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,292920,São Francisco do Conde,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,292925,São Gabriel,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,1.0,1.0,1.0,0.9982,0.9289,0.9188
Sul,Itabuna,292935,São José da Vitória,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,292937,São José do Jacuípe,0.6272,0.9357,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,292940,São Miguel das Matas,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,292950,São Sebastião do Passé,0.9803,0.8344,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,292960,Sapeaçu,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,292970,Sátiro Dias,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,292975,Saubara,0.8511,0.8457,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,292980,Saúde,1.0,0.8125,1.0,1.0,1.0,1.0
Centro Leste,Seabra,292990,Seabra,0.4707,0.4652,0.5783,0.5102,0.6179,0.5477
Sudoeste,Guanambi,293000,Sebastião Laranjeiras,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Senhor do Bonfim,293010,Senhor do Bonfim,0.6831,0.6787,0.7291,0.6797,0.7577,0.8733
Norte,Juazeiro,293020,Sento Sé,0.5912,0.6244,0.5809,0.7412,0.7628,0.848
Oeste,Santa Maria da Vitória,293015,Serra do Ramalho,0.9403,0.9406,1.0,0.8693,1.0,1.0
Oeste,Santa Maria da Vitória,293030,Serra Dourada,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,293040,Serra Preta,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,293050,Serrinha,0.6473,0.6351,0.821,0.7683,0.9144,0.8533
Centro Norte,Jacobina,293060,Serrolândia,1.0,1.0,1.0,0.9977,1.0,1.0
Leste,Camaçari,293070,Simões Filho,0.4034,0.3986,0.4834,0.4564,0.6444,0.4621
Oeste,Santa Maria da Vitória,293075,Sítio do Mato,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,293076,Sítio do Quinto,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Juazeiro,293077,Sobradinho,1.0,1.0,1.0,0.8729,1.0,1.0
Centro Leste,Seabra,293080,Souto Soares,0.8005,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,293090,Tabocas do Brejo Velho,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,293100,Tanhaçu,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,293105,Tanque Novo,1.0,0.4203,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,293110,Tanquinho,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,293120,Taperoá,0.9911,0.9815,0.9727,1.0,0.991,1.0
Centro Norte,Jacobina,293130,Tapiramutá,0.9906,0.9915,0.9661,0.7733,0.8096,1.0
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,0.8422,0.9154,0.8851,0.8934,0.8927,0.9029
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,293150,Teofilândia,1.0,0.8996,1.0,1.0,1.0,1.0
Sul,Valença,293160,Teolândia,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,293170,Terra Nova,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,293180,Tremedal,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,293190,Tucano,0.922,0.9375,1.0,0.9193,0.8857,1.0
Norte,Juazeiro,293200,Uauá,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,293210,Ubaíra,0.8305,0.9744,0.8296,0.8293,0.8662,0.8671
Sul,Itabuna,293220,Ubaitaba,0.8217,0.8288,0.8355,0.8419,1.0,0.9052
Sul,Itabuna,293230,Ubatã,0.644,0.6377,0.7583,0.8773,0.9013,0.7657
Centro Norte,Irecê,293240,Uibaí,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,293245,Umburanas,0.7321,0.5432,0.8918,0.8836,0.725,0.7179
Sul,Ilhéus,293250,Una,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,293260,Urandi,0.9988,0.9971,0.7964,1.0,1.0,1.0
Sul,Ilhéus,293270,Uruçuca,0.7868,0.7895,0.9298,1.0,1.0,0.8407
Centro Leste,Itaberaba,293280,Utinga,0.8851,0.8804,0.7009,0.5233,0.7226,0.7196
Sul,Valença,293290,Valença,0.4647,0.4964,0.4926,0.559,0.7239,0.6431
Centro Leste,Serrinha,293300,Valente,0.7515,0.7418,0.6068,0.9602,0.9812,0.9693
Centro Norte,Jacobina,293305,Várzea da Roça,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,293310,Várzea do Poço,0.7369,0.3664,0.7337,0.7302,0.7558,1.0
Centro Norte,Jacobina,293315,Várzea Nova,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,293317,Varzedo,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,293320,Vera Cruz,0.9014,0.8898,0.8792,0.8696,0.9694,0.9578
Extremo Sul,Teixeira de Freitas,293325,Vereda,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,293330,Vitória da Conquista,0.5595,0.5563,0.5726,0.6033,0.606,0.4848
Centro Leste,Itaberaba,293340,Wagner,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,293345,Wanderley,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,293350,Wenceslau Guimarães,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,293360,Xique-Xique,0.5725,0.6426,0.7768,0.7946,0.9373,0.8164
